Date, Close
2023-09-05, 2582.179932
2023-09-04, 2584.550049
2023-09-01, 2563.709961
2023-08-31, 2556.27002
2023-08-30, 2561.219971
2023-08-29, 2552.159912
2023-08-28, 2543.409912
2023-08-25, 2519.139893
2023-08-24, 2537.679932
2023-08-23, 2505.5
2023-08-22, 2515.73999
2023-08-21, 2508.800049
2023-08-18, 2504.5
2023-08-17, 2519.850098
2023-08-16, 2525.639893
2023-08-14, 2570.870117
2023-08-11, 2591.26001
2023-08-10, 2601.560059
2023-08-09, 2605.120117
2023-08-08, 2573.97998
2023-08-07, 2580.709961
2023-08-04, 2602.800049
2023-08-03, 2605.389893
2023-08-02, 2616.469971
2023-08-01, 2667.070068
2023-07-31, 2632.580078
2023-07-28, 2608.320068
2023-07-27, 2603.810059
2023-07-26, 2592.360107
2023-07-25, 2636.459961
2023-07-24, 2628.530029
2023-07-21, 2609.76001
2023-07-20, 2600.22998
2023-07-19, 2608.23999
2023-07-18, 2607.620117
2023-07-17, 2619
2023-07-14, 2628.300049
2023-07-13, 2591.22998
2023-07-12, 2574.719971
2023-07-11, 2562.48999
2023-07-10, 2520.699951
2023-07-07, 2526.709961
2023-07-06, 2556.290039
2023-07-05, 2579
2023-07-04, 2593.310059
2023-07-03, 2602.469971
2023-06-30, 2564.280029
2023-06-29, 2550.02002
2023-06-28, 2564.189941
2023-06-27, 2581.389893
2023-06-26, 2582.199951
2023-06-23, 2570.100098
2023-06-22, 2593.699951
2023-06-21, 2582.629883
2023-06-20, 2604.909912
2023-06-19, 2609.5
2023-06-16, 2625.790039
2023-06-15, 2608.540039
2023-06-14, 2619.080078
2023-06-13, 2637.949951
2023-06-12, 2629.350098
2023-06-09, 2641.159912
2023-06-08, 2610.850098
2023-06-07, 2615.600098
2023-06-05, 2615.409912
2023-06-02, 2601.360107
2023-06-01, 2569.169922
2023-05-31, 2577.120117
2023-05-30, 2585.52002
2023-05-26, 2558.810059
2023-05-25, 2554.689941
2023-05-24, 2567.449951
2023-05-23, 2567.550049
2023-05-22, 2557.080078
2023-05-19, 2537.790039
2023-05-18, 2515.399902
2023-05-17, 2494.659912
2023-05-16, 2480.23999
2023-05-15, 2479.350098
2023-05-12, 2475.419922
2023-05-11, 2491
2023-05-10, 2496.51001
2023-05-09, 2510.060059
