Date,Open,High,Low,Close
2023-05-25,337.720001,338.200012,334.980011,335.350006
2023-05-24,335.359985,337.320007,335.089996,336.48999
2023-05-23,337.320007,338.540009,336.369995,337.089996
2023-05-22,334.5,337.660004,333.429993,336.269989
2023-05-19,332.670013,334.269989,332,334.230011
2023-05-18,329.070007,329.869995,327.679993,329.839996
2023-05-17,325.609985,327.540009,324.820007,326.609985
2023-05-16,327.01001,327.720001,324.600006,325.309998
2023-05-15,322.98999,324.559998,321.609985,324.459991
2023-05-12,324.829987,325.23999,322.970001,323.609985
2023-05-11,327.179993,328.429993,325.279999,325.279999
2023-05-10,327.730011,327.899994,324.940002,326.040009
2023-05-09,328.679993,328.920013,326.809998,328.220001
2023-05-08,329.01001,330.049988,328.200012,328.899994
2023-05-04,325.75,326.329987,324.26001,326.170013
2023-05-03,326.98999,327.929993,325.829987,326.519989
2023-05-02,326.98999,329.48999,326.73999,329.089996
2023-04-28,327.350006,328.559998,324.769989,326.459991
2023-04-27,323.779999,325.73999,321.179993,325.089996
2023-04-26,324.570007,325.609985,323.299988,323.970001
2023-04-25,329.700012,329.880005,322.470001,324.480011
2023-04-24,329.98999,330.350006,328.059998,328.700012
2023-04-21,332.079987,332.48999,329.559998,330.940002
2023-04-20,332.420013,333.649994,331.179993,332.660004
2023-04-19,333.339996,334.959991,332.959991,333.769989
2023-04-18,334.929993,334.970001,331.350006,333.5
2023-04-17,333.619995,334.299988,332.179993,333.920013
2023-04-14,335.420013,335.769989,332.48999,333.679993
2023-04-13,330.059998,333.089996,329.630005,333.089996
2023-04-12,330.880005,332.799988,329.769989,332.089996
2023-04-11,328,331.579987,326.869995,330.869995
2023-04-10,323.269989,327.890015,323.070007,326.380005
2023-04-07,321.290009,323.890015,320.529999,323.359985
2023-04-06,322.369995,322.399994,317.779999,317.820007
2023-04-05,322.040009,323.959991,321.350006,323.559998
2023-04-04,320.970001,322.850006,320.23999,321.75
2023-04-03,323.179993,323.209991,319.730011,320.380005
2023-03-31,319.600006,322.540009,319.170013,322.029999
2023-03-30,318.51001,319.480011,316.779999,318.049988
2023-03-29,315.679993,317.029999,314.940002,317.01001
2023-03-28,314.149994,316.359985,313.48999,316.359985
2023-03-27,314.829987,314.839996,311.23999,312.850006
2023-03-24,315.170013,315.859985,312.48999,314.299988
2023-03-23,311.51001,315.75,311.410004,315.75
2023-03-22,313.329987,314.26001,311.940002,314.109985
2023-03-21,311.859985,312.049988,309.640015,310.359985
2023-03-20,311.589996,313.440002,309.390015,309.48999
2023-03-17,312.200012,312.679993,309.799988,312.070007
2023-03-16,305.869995,309.269989,304.630005,308.390015
2023-03-15,309.75,311.420013,307.809998,309.100006
2023-03-14,310.179993,310.350006,305.450012,305.579987
2023-03-13,311.769989,313.690002,308.029999,313.209991
2023-03-10,310.149994,311.549988,309.119995,310.649994
2023-03-09,316.570007,317.190002,313.589996,314.040009
2023-03-08,316.140015,316.880005,314.769989,315.380005
2023-03-07,320.040009,321.920013,319.640015,319.799988
2023-03-06,319.220001,321.290009,317.869995,320.940002
2023-03-03,317.690002,318.299988,315.299988,316.359985
2023-03-02,315.299988,318.880005,314.399994,316.26001
2023-02-28,315.75,317.690002,314.130005,314.799988
2023-02-27,314.290009,314.429993,311.630005,313.940002
2023-02-24,319.890015,321.269989,316.799988,316.940002
2023-02-23,317.769989,321.130005,317.089996,319.440002
2023-02-22,317.940002,318.73999,315.829987,315.940002
2023-02-21,322.160004,322.880005,320.019989,321.559998
2023-02-20,321.070007,322.970001,318.149994,321.790009
2023-02-17,320.149994,323.670013,320.01001,320.779999
2023-02-16,320,324.350006,319.630005,324.100006
2023-02-15,324.429993,324.540009,317.410004,317.98999
2023-02-14,324.5,325.799988,322.829987,323.470001
2023-02-13,322.660004,323.040009,319.779999,321.75
2023-02-10,323.299988,324.179993,321.619995,323.690002
2023-02-09,323.709991,325.799988,322.829987,324.899994
2023-02-08,323.269989,326.429993,322.809998,325.630005
2023-02-07,319.359985,321.450012,318.200012,320.549988
2023-02-06,322.899994,323.709991,318.820007,318.829987
2023-02-03,323.579987,326.48999,322.390015,325.859985
2023-02-02,325.940002,326.730011,321.970001,323.929993
2023-02-01,320.540009,321.640015,318.609985,321.190002
2023-01-31,322.709991,323.26001,317.089996,317.26001
2023-01-30,328.089996,328.970001,322.350006,322.670013
2023-01-27,326.220001,329.709991,324.980011,327.980011
2023-01-26,321.820007,325.570007,320.48999,325.570007
2023-01-25,320.809998,321.480011,319.75,320.76001
