Date, Close
2023-09-05, 921.47998
2023-09-04, 919.159973
2023-09-01, 919.73999
2023-08-31, 928.400024
2023-08-30, 923.809998
2023-08-29, 916.23999
2023-08-28, 909.380005
2023-08-25, 899.380005
2023-08-24, 901.73999
2023-08-23, 882.869995
2023-08-22, 893.330017
2023-08-21, 888.710022
2023-08-18, 877.320007
2023-08-17, 886.039978
2023-08-16, 878.289978
2023-08-14, 901.679993
2023-08-11, 912.200012
2023-08-10, 911.289978
2023-08-09, 908.97998
2023-08-08, 892.340027
2023-08-07, 898.219971
2023-08-04, 918.429993
2023-08-03, 920.320007
2023-08-02, 909.76001
2023-08-01, 939.669983
2023-07-31, 935.969971
2023-07-28, 913.73999
2023-07-27, 883.789978
2023-07-26, 900.630005
2023-07-25, 939.960022
2023-07-24, 929.900024
2023-07-21, 934.580017
2023-07-20, 931.599976
2023-07-19, 923.719971
2023-07-18, 914.140015
2023-07-17, 898.289978
2023-07-14, 896.280029
2023-07-13, 893.070007
2023-07-12, 879.880005
2023-07-11, 878.72998
2023-07-10, 860.349976
2023-07-07, 867.27002
2023-07-06, 870.530029
2023-07-05, 891.179993
2023-07-04, 890
2023-07-03, 889.289978
2023-06-30, 868.23999
2023-06-29, 861.789978
2023-06-28, 866.969971
2023-06-27, 874.140015
2023-06-26, 879.5
2023-06-23, 874.840027
2023-06-22, 876.380005
2023-06-21, 875.700012
2023-06-20, 886.409973
2023-06-19, 888.609985
2023-06-16, 887.950012
2023-06-15, 878.039978
2023-06-14, 871.830017
2023-06-13, 896.809998
2023-06-12, 885.76001
2023-06-09, 883.710022
2023-06-08, 876.130005
2023-06-07, 880.719971
2023-06-05, 870.280029
2023-06-02, 868.059998
2023-06-01, 863.780029
2023-05-31, 856.940002
2023-05-30, 851.5
2023-05-26, 843.22998
2023-05-25, 847.719971
2023-05-24, 855.460022
2023-05-23, 859.159973
2023-05-22, 852.039978
2023-05-19, 841.719971
2023-05-18, 835.890015
2023-05-17, 834.190002
2023-05-16, 816.75
2023-05-15, 814.530029
2023-05-12, 822.429993
2023-05-11, 824.539978
2023-05-10, 829.73999
2023-05-09, 835.849976
2023-05-08, 842.280029
2023-05-04, 845.059998
2023-05-03, 843.179993
2023-05-02, 855.609985
2023-04-28, 842.830017
